Date,UserPrincipalName,IPAddress,Location,Status,Application,DeviceDetail,Provenance
2026-07-08T08:05:10Z,kwabena.mensah@adinkra-logistics.com,198.51.100.20,"Ghana, GH",Success,Office 365 Exchange Online,Windows 10 / Edge,Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-09T08:12:44Z,kwabena.mensah@adinkra-logistics.com,198.51.100.20,"Ghana, GH",Success,Office 365 Exchange Online,Windows 10 / Edge,Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-10T08:03:20Z,kwabena.mensah@adinkra-logistics.com,198.51.100.20,"Ghana, GH",Success,Office 365 Exchange Online,Windows 10 / Edge,Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-10T17:40:05Z,kwabena.mensah@adinkra-logistics.com,198.51.100.20,"Ghana, GH",Success,Office 365 Exchange Online,Windows 10 / Edge,Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-11T08:20:33Z,kwabena.mensah@adinkra-logistics.com,198.51.100.20,"Ghana, GH",Success,Office 365 Exchange Online,Windows 10 / Edge,Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-12T08:15:51Z,kwabena.mensah@adinkra-logistics.com,198.51.100.20,"Ghana, GH",Success,Office 365 Exchange Online,Windows 10 / Edge,Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-13T09:10:12Z,kwabena.mensah@adinkra-logistics.com,198.51.100.20,"Ghana, GH",Success,Office 365 Exchange Online,Windows 10 / Edge,Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T07:20:04Z,kwabena.mensah@adinkra-logistics.com,198.51.100.20,"Ghana, GH",Success,Office 365 Exchange Online,Windows 10 / Edge,Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T08:30:11Z,kwabena.mensah@adinkra-logistics.com,203.0.113.66,"Netherlands, NL",Failure,Office 365 Exchange Online,Linux / Firefox,Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T08:33:40Z,kwabena.mensah@adinkra-logistics.com,203.0.113.66,"Netherlands, NL",Failure,Office 365 Exchange Online,Linux / Firefox,Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T08:37:22Z,kwabena.mensah@adinkra-logistics.com,203.0.113.66,"Netherlands, NL",Failure,Office 365 Exchange Online,Linux / Firefox,Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T08:41:09Z,kwabena.mensah@adinkra-logistics.com,203.0.113.66,"Netherlands, NL",Failure,Office 365 Exchange Online,Linux / Firefox,Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T08:43:15Z,kwabena.mensah@adinkra-logistics.com,203.0.113.66,"Netherlands, NL",Success,Office 365 Exchange Online,Linux / Firefox,Created by Nana Sei Anyemedu | Property of HIVE CONSULT
