CreationDate,UserIds,Operations,AuditData,Provenance
2026-07-14T09:06:00Z,kwabena.mensah@adinkra-logistics.com,FileAccessed,"{""CreationTime"": ""2026-07-14T09:06:00Z"", ""Operation"": ""FileAccessed"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""SharePoint"", ""ResultStatus"": ""Succeeded"", ""SourceFileName"": ""Supplier_Master_Bank_Details.xlsx"", ""SiteUrl"": ""/sites/Finance/Shared Documents""}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T09:08:00Z,kwabena.mensah@adinkra-logistics.com,FileAccessed,"{""CreationTime"": ""2026-07-14T09:08:00Z"", ""Operation"": ""FileAccessed"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""SharePoint"", ""ResultStatus"": ""Succeeded"", ""SourceFileName"": ""Vendor_Payments_Q3.xlsx"", ""SiteUrl"": ""/sites/Finance/Shared Documents""}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T09:10:00Z,kwabena.mensah@adinkra-logistics.com,FileDownloaded,"{""CreationTime"": ""2026-07-14T09:10:00Z"", ""Operation"": ""FileDownloaded"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""OneDrive"", ""ResultStatus"": ""Succeeded"", ""SourceFileName"": ""Supplier_Master_Bank_Details.xlsx"", ""SiteUrl"": ""/personal/kwabena_mensah""}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T09:11:00Z,kwabena.mensah@adinkra-logistics.com,FileDownloaded,"{""CreationTime"": ""2026-07-14T09:11:00Z"", ""Operation"": ""FileDownloaded"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""OneDrive"", ""ResultStatus"": ""Succeeded"", ""SourceFileName"": ""Vendor_Payments_Q3.xlsx"", ""SiteUrl"": ""/personal/kwabena_mensah""}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T09:12:30Z,kwabena.mensah@adinkra-logistics.com,FileDownloaded,"{""CreationTime"": ""2026-07-14T09:12:30Z"", ""Operation"": ""FileDownloaded"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""SharePoint"", ""ResultStatus"": ""Succeeded"", ""SourceFileName"": ""Bank_Mandate_Forms.pdf"", ""SiteUrl"": ""/sites/Finance/Shared Documents""}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T09:14:00Z,kwabena.mensah@adinkra-logistics.com,AnonymousLinkCreated,"{""CreationTime"": ""2026-07-14T09:14:00Z"", ""Operation"": ""AnonymousLinkCreated"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""SharePoint"", ""ResultStatus"": ""Succeeded"", ""SourceFileName"": ""Supplier_Master_Bank_Details.xlsx"", ""SiteUrl"": ""/sites/Finance/Shared Documents""}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T09:15:00Z,kwabena.mensah@adinkra-logistics.com,SharingInvitationCreated,"{""CreationTime"": ""2026-07-14T09:15:00Z"", ""Operation"": ""SharingInvitationCreated"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""SharePoint"", ""ResultStatus"": ""Succeeded"", ""SourceFileName"": ""Supplier_Master_Bank_Details.xlsx"", ""SiteUrl"": ""/sites/Finance/Shared Documents""}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T09:16:30Z,kwabena.mensah@adinkra-logistics.com,FileUploaded,"{""CreationTime"": ""2026-07-14T09:16:30Z"", ""Operation"": ""FileUploaded"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""OneDrive"", ""ResultStatus"": ""Succeeded"", ""SourceFileName"": ""Updated_Beneficiary.xlsx"", ""SiteUrl"": ""/personal/kwabena_mensah""}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T09:18:00Z,kwabena.mensah@adinkra-logistics.com,FileModified,"{""CreationTime"": ""2026-07-14T09:18:00Z"", ""Operation"": ""FileModified"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""SharePoint"", ""ResultStatus"": ""Succeeded"", ""SourceFileName"": ""Supplier_Master_Bank_Details.xlsx"", ""SiteUrl"": ""/sites/Finance/Shared Documents""}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T09:20:00Z,kwabena.mensah@adinkra-logistics.com,FileRenamed,"{""CreationTime"": ""2026-07-14T09:20:00Z"", ""Operation"": ""FileRenamed"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""SharePoint"", ""ResultStatus"": ""Succeeded"", ""SourceFileName"": ""Vendor_Payments_Q3.xlsx"", ""SiteUrl"": ""/sites/Finance/Shared Documents""}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T09:22:00Z,kwabena.mensah@adinkra-logistics.com,FileSyncDownloadedFull,"{""CreationTime"": ""2026-07-14T09:22:00Z"", ""Operation"": ""FileSyncDownloadedFull"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""OneDrive"", ""ResultStatus"": ""Succeeded"", ""SourceFileName"": ""Finance library"", ""SiteUrl"": ""/sites/Finance""}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T09:38:00Z,kwabena.mensah@adinkra-logistics.com,FileDeleted,"{""CreationTime"": ""2026-07-14T09:38:00Z"", ""Operation"": ""FileDeleted"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""SharePoint"", ""ResultStatus"": ""Succeeded"", ""SourceFileName"": ""Bank_Mandate_Forms.pdf"", ""SiteUrl"": ""/sites/Finance/Shared Documents""}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
