CreationDate,UserIds,Operations,AuditData,Provenance
2026-07-14T08:46:00Z,kwabena.mensah@adinkra-logistics.com,New-InboxRule,"{""CreationTime"": ""2026-07-14T08:46:00Z"", ""Operation"": ""New-InboxRule"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""Exchange"", ""ResultStatus"": ""Succeeded"", ""Parameters"": [{""Name"": ""Name"", ""Value"": ""Sync Backup""}, {""Name"": ""ForwardTo"", ""Value"": ""k.mensah.finance@secure-mailbox-inbox.com""}, {""Name"": ""DeleteMessage"", ""Value"": ""True""}, {""Name"": ""StopProcessingRules"", ""Value"": ""True""}, {""Name"": ""SubjectContainsWords"", ""Value"": ""invoice;payment;bank;swift;beneficiary""}]}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T08:50:00Z,kwabena.mensah@adinkra-logistics.com,MailItemsAccessed,"{""CreationTime"": ""2026-07-14T08:50:00Z"", ""Operation"": ""MailItemsAccessed"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""Exchange"", ""ResultStatus"": ""Succeeded""}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T08:50:30Z,kwabena.mensah@adinkra-logistics.com,MailItemsAccessed,"{""CreationTime"": ""2026-07-14T08:50:30Z"", ""Operation"": ""MailItemsAccessed"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""Exchange"", ""ResultStatus"": ""Succeeded""}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T08:51:00Z,kwabena.mensah@adinkra-logistics.com,MailItemsAccessed,"{""CreationTime"": ""2026-07-14T08:51:00Z"", ""Operation"": ""MailItemsAccessed"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""Exchange"", ""ResultStatus"": ""Succeeded""}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T08:51:30Z,kwabena.mensah@adinkra-logistics.com,MailItemsAccessed,"{""CreationTime"": ""2026-07-14T08:51:30Z"", ""Operation"": ""MailItemsAccessed"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""Exchange"", ""ResultStatus"": ""Succeeded""}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T08:52:00Z,kwabena.mensah@adinkra-logistics.com,MailItemsAccessed,"{""CreationTime"": ""2026-07-14T08:52:00Z"", ""Operation"": ""MailItemsAccessed"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""Exchange"", ""ResultStatus"": ""Succeeded""}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T08:52:30Z,kwabena.mensah@adinkra-logistics.com,MailItemsAccessed,"{""CreationTime"": ""2026-07-14T08:52:30Z"", ""Operation"": ""MailItemsAccessed"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""Exchange"", ""ResultStatus"": ""Succeeded""}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T08:53:00Z,kwabena.mensah@adinkra-logistics.com,MailItemsAccessed,"{""CreationTime"": ""2026-07-14T08:53:00Z"", ""Operation"": ""MailItemsAccessed"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""Exchange"", ""ResultStatus"": ""Succeeded""}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T08:53:30Z,kwabena.mensah@adinkra-logistics.com,MailItemsAccessed,"{""CreationTime"": ""2026-07-14T08:53:30Z"", ""Operation"": ""MailItemsAccessed"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""Exchange"", ""ResultStatus"": ""Succeeded""}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
2026-07-14T08:54:00Z,kwabena.mensah@adinkra-logistics.com,MailItemsAccessed,"{""CreationTime"": ""2026-07-14T08:54:00Z"", ""Operation"": ""MailItemsAccessed"", ""UserId"": ""kwabena.mensah@adinkra-logistics.com"", ""ClientIP"": ""203.0.113.66"", ""Workload"": ""Exchange"", ""ResultStatus"": ""Succeeded""}",Created by Nana Sei Anyemedu | Property of HIVE CONSULT
